id,ano,desempenho,nota_final,promocao
1,2019,Baixo,9.9,0
1,2020,Alto,9.1,1
1,2021,Médio,8.6,0
1,2022,Médio,5.8,0
1,2023,Médio,6.0,0
2,2019,Médio,6.6,0
2,2020,Baixo,6.1,0
2,2021,Médio,6.5,0
2,2022,Médio,8.6,0
2,2023,Baixo,7.6,0
3,2019,Médio,4.0,0
3,2020,Médio,7.5,0
3,2021,Alto,8.0,0
3,2022,Baixo,5.0,0
3,2023,Alto,8.2,0
4,2019,Médio,5.7,0
4,2020,Alto,8.1,0
4,2021,Médio,9.1,0
4,2022,Alto,7.3,0
4,2023,Alto,5.3,0
5,2019,Baixo,9.6,0
5,2020,Alto,9.6,1
5,2021,Médio,8.7,0
5,2022,Médio,7.3,0
5,2023,Médio,4.1,0
6,2019,Médio,4.7,0
6,2020,Médio,4.7,0
6,2021,Alto,6.4,0
6,2022,Baixo,7.8,0
6,2023,Alto,6.8,0
7,2019,Médio,8.7,0
7,2020,Médio,8.4,0
7,2021,Alto,8.0,0
7,2022,Médio,9.8,0
7,2023,Médio,5.0,0
8,2019,Alto,8.3,0
8,2020,Baixo,6.2,0
8,2021,Baixo,4.5,0
8,2022,Baixo,4.0,0
8,2023,Baixo,9.2,0
9,2019,Médio,7.0,0
9,2020,Alto,4.2,0
9,2021,Alto,5.9,0
9,2022,Baixo,7.9,0
9,2023,Médio,9.1,0
10,2019,Alto,7.0,0
10,2020,Médio,5.3,0
10,2021,Alto,6.6,0
10,2022,Alto,7.9,0
10,2023,Alto,4.8,0
11,2019,Alto,4.3,0
11,2020,Médio,6.2,0
11,2021,Médio,6.4,0
11,2022,Médio,4.8,0
11,2023,Baixo,9.5,0
12,2019,Alto,9.9,1
12,2020,Alto,4.8,0
12,2021,Alto,5.8,0
12,2022,Baixo,8.2,0
12,2023,Médio,4.1,0
13,2019,Médio,5.7,0
13,2020,Alto,9.2,1
13,2021,Baixo,4.3,0
13,2022,Baixo,7.0,0
13,2023,Alto,4.5,0
14,2019,Médio,8.2,0
14,2020,Alto,8.0,0
14,2021,Alto,8.9,1
14,2022,Baixo,5.0,0
14,2023,Médio,8.2,0
15,2019,Médio,5.8,0
15,2020,Alto,7.0,0
15,2021,Médio,9.6,0
15,2022,Médio,6.4,0
15,2023,Alto,4.1,0
16,2019,Alto,6.6,0
16,2020,Alto,10.0,1
16,2021,Médio,5.3,0
16,2022,Médio,4.4,0
16,2023,Médio,8.5,0
17,2019,Baixo,5.7,0
17,2020,Médio,8.8,0
17,2021,Baixo,4.8,0
17,2022,Médio,5.4,0
17,2023,Alto,4.9,0
18,2019,Baixo,5.1,0
18,2020,Alto,7.4,0
18,2021,Médio,9.8,0
18,2022,Alto,5.5,0
18,2023,Alto,4.0,0
19,2019,Alto,7.2,0
19,2020,Alto,5.2,0
19,2021,Alto,9.9,1
19,2022,Médio,8.4,0
19,2023,Alto,5.8,0
20,2019,Baixo,4.3,0
20,2020,Médio,4.6,0
20,2021,Médio,9.9,0
20,2022,Alto,9.7,1
20,2023,Médio,5.2,0
21,2019,Alto,7.1,0
21,2020,Alto,7.8,0
21,2021,Médio,8.4,0
21,2022,Alto,4.5,0
21,2023,Médio,8.5,0
22,2019,Médio,7.7,0
22,2020,Baixo,6.6,0
22,2021,Médio,7.0,0
22,2022,Baixo,7.0,0
22,2023,Baixo,9.7,0
23,2019,Baixo,6.4,0
23,2020,Médio,6.7,0
23,2021,Alto,8.3,0
23,2022,Médio,8.3,0
23,2023,Médio,5.2,0
24,2019,Médio,6.1,0
24,2020,Médio,4.7,0
24,2021,Baixo,8.1,0
24,2022,Baixo,9.9,0
24,2023,Baixo,9.6,0
25,2019,Alto,5.1,0
25,2020,Alto,6.3,0
25,2021,Alto,9.1,1
25,2022,Alto,4.9,0
25,2023,Alto,4.9,0
26,2019,Médio,9.7,0
26,2020,Médio,4.0,0
26,2021,Alto,6.4,0
26,2022,Alto,8.3,0
26,2023,Baixo,7.9,0
27,2019,Médio,7.0,0
27,2020,Alto,9.9,1
27,2021,Médio,5.5,0
27,2022,Alto,7.0,0
27,2023,Alto,7.8,0
28,2019,Alto,7.1,0
28,2020,Médio,9.0,0
28,2021,Médio,4.8,0
28,2022,Alto,7.3,0
28,2023,Médio,8.8,0
29,2019,Alto,6.9,0
29,2020,Alto,4.5,0
29,2021,Médio,4.9,0
29,2022,Alto,8.8,1
29,2023,Baixo,6.1,0
30,2019,Alto,6.9,0
30,2020,Alto,5.0,0
30,2021,Alto,4.0,0
30,2022,Alto,5.2,0
30,2023,Médio,8.1,0
31,2019,Médio,5.1,0
31,2020,Baixo,4.5,0
31,2021,Médio,9.3,0
31,2022,Baixo,5.8,0
31,2023,Baixo,5.5,0
32,2019,Médio,9.5,0
32,2020,Médio,9.5,0
32,2021,Alto,7.3,0
32,2022,Médio,5.0,0
32,2023,Baixo,4.2,0
33,2019,Médio,8.6,0
33,2020,Baixo,4.2,0
33,2021,Alto,6.5,0
33,2022,Alto,5.2,0
33,2023,Baixo,9.7,0
34,2019,Alto,7.1,0
34,2020,Alto,9.3,1
34,2021,Médio,9.7,0
34,2022,Alto,7.3,0
34,2023,Baixo,4.4,0
35,2019,Alto,8.5,1
35,2020,Alto,7.2,0
35,2021,Baixo,8.9,0
35,2022,Médio,5.2,0
35,2023,Alto,7.9,0
36,2019,Médio,6.0,0
36,2020,Alto,6.1,0
36,2021,Médio,4.8,0
36,2022,Médio,8.8,0
36,2023,Médio,7.9,0
37,2019,Médio,6.0,0
37,2020,Baixo,9.0,0
37,2021,Médio,6.8,0
37,2022,Alto,8.5,1
37,2023,Baixo,5.8,0
38,2019,Médio,6.9,0
38,2020,Médio,7.8,0
38,2021,Médio,5.1,0
38,2022,Alto,5.3,0
38,2023,Baixo,4.8,0
39,2019,Médio,7.2,0
39,2020,Médio,8.7,0
39,2021,Alto,8.8,1
39,2022,Médio,8.1,0
39,2023,Baixo,5.5,0
40,2019,Alto,9.7,1
40,2020,Alto,9.9,1
40,2021,Baixo,5.0,0
40,2022,Baixo,6.0,0
40,2023,Baixo,5.2,0
41,2019,Baixo,9.6,0
41,2020,Alto,4.9,0
41,2021,Alto,5.9,0
41,2022,Baixo,6.6,0
41,2023,Médio,4.4,0
42,2019,Médio,7.8,0
42,2020,Médio,5.8,0
42,2021,Alto,4.9,0
42,2022,Médio,5.3,0
42,2023,Baixo,6.7,0
43,2019,Baixo,6.0,0
43,2020,Médio,8.7,0
43,2021,Médio,9.4,0
43,2022,Alto,6.5,0
43,2023,Alto,4.3,0
44,2019,Alto,4.2,0
44,2020,Médio,5.6,0
44,2021,Médio,6.3,0
44,2022,Alto,6.1,0
44,2023,Alto,4.9,0
45,2019,Alto,7.3,0
45,2020,Médio,5.2,0
45,2021,Alto,4.9,0
45,2022,Médio,6.6,0
45,2023,Médio,7.4,0
46,2019,Médio,6.6,0
46,2020,Baixo,4.2,0
46,2021,Alto,9.1,1
46,2022,Médio,7.3,0
46,2023,Alto,4.8,0
47,2019,Médio,9.7,0
47,2020,Médio,8.3,0
47,2021,Médio,5.2,0
47,2022,Médio,6.4,0
47,2023,Alto,8.5,1
48,2019,Baixo,7.2,0
48,2020,Alto,5.3,0
48,2021,Médio,7.8,0
48,2022,Baixo,5.0,0
48,2023,Médio,9.7,0
49,2019,Baixo,6.9,0
49,2020,Baixo,9.9,0
49,2021,Médio,9.5,0
49,2022,Alto,4.3,0
49,2023,Baixo,9.7,0
50,2019,Médio,7.3,0
50,2020,Alto,8.4,0
50,2021,Médio,5.2,0
50,2022,Alto,7.6,0
50,2023,Médio,7.1,0
51,2019,Baixo,9.9,0
51,2020,Baixo,5.1,0
51,2021,Alto,6.7,0
51,2022,Médio,5.3,0
51,2023,Baixo,9.8,0
52,2019,Alto,5.5,0
52,2020,Baixo,8.2,0
52,2021,Médio,9.8,0
52,2022,Alto,9.1,1
52,2023,Alto,5.9,0
53,2019,Alto,8.8,1
53,2020,Médio,9.1,0
53,2021,Alto,6.5,0
53,2022,Médio,6.1,0
53,2023,Baixo,9.4,0
54,2019,Baixo,5.6,0
54,2020,Alto,4.3,0
54,2021,Alto,9.5,1
54,2022,Alto,9.8,1
54,2023,Alto,5.7,0
55,2019,Médio,9.2,0
55,2020,Alto,10.0,1
